mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 05:35:20.899,4.8,"73 km WNW of Cabra, Philippines",14.0787,119.4017
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 06:39:30.028,4.4,"79 km W of Cabra, Philippines",14.0188,119.3305
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 06:51:24.253,4.3,"91 km W of Cabra, Philippines",14.0351,119.2147
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 07:33:34.773,4.6,"101 km WNW of Cabra, Philippines",14.1154,119.1347
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 09:20:39.940,4.9,"69 km WNW of Cabra, Philippines",14.0864,119.4371
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 09:41:23.130,4.6,"69 km W of Cabra, Philippines",13.938,119.4052
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 10:59:17.651,4.4,"95 km W of Cabra, Philippines",13.9538,119.1648
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 12:10:50.586,4.7,"80 km WNW of Cabra, Philippines",14.1322,119.3479
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 13:06:58.103,4.5,"81 km W of Cabra, Philippines",14.0163,119.3043
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 14:31:54.334,4.8,"77 km WNW of Cabra, Philippines",14.1505,119.3792
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 14:37:19.918,4.4,"85 km WNW of Cabra, Philippines",14.1403,119.2985
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 14:37:48.658,4.4,"95 km WNW of Cabra, Philippines",14.0977,119.1933
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 14:40:47.749,5.2,"82 km WNW of Cabra, Philippines",14.1448,119.334
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 14:50:40.166,4.6,"84 km WNW of Cabra, Philippines",14.1596,119.3166
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 15:15:23.995,4.5,"72 km WNW of Cabra, Philippines",14.1707,119.4394
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 15:22:53.896,5.0,"Luzon, Philippines",14.1312,119.5165
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 15:33:07.256,4.4,"76 km WNW of Cabra, Philippines",14.1786,119.4047
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 22:23:47.913,4.7,"92 km WNW of Cabra, Philippines",14.1319,119.2266
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-14 23:36:42.057,4.7,"79 km WNW of Cabra, Philippines",14.1624,119.371
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 04:31:58.319,4.7,"80 km WNW of Cabra, Philippines",14.1169,119.3385
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 04:35:27.885,4.2,"91 km WNW of Cabra, Philippines",14.0822,119.2256
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 06:28:21.645,4.4,"92 km WNW of Cabra, Philippines",14.0929,119.2228
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 08:05:20.632,5.0,"78 km WNW of Cabra, Philippines",14.128,119.3606
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 08:31:14.887,4.6,"73 km WNW of Cabra, Philippines",14.1086,119.4051
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 14:06:54.050,4.4,"87 km W of Cabra, Philippines",14.0072,119.2482
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 18:15:49.383,5.0,"63 km WNW of Cabra, Philippines",14.0082,119.4751
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 19:36:39.140,4.6,"72 km WNW of Cabra, Philippines",14.0402,119.3954
"Lubang, Occidental Mindoro",2022-03-14 05:05:48,6.4,2022-03-15 19:49:39.940,4.5,"61 km W of Cabra, Philippines",13.9726,119.4862
